zip,no_payments,amount_total,modzcta,zcta,pop_est,nyc,NAME,medincomeE,medincomeM,county,total_pop,total_vouchers,prop_pop,prop_vouchers
11419,92,177142,11419,11419,49618,TRUE,ZCTA5 11419,90818,5426,Queens,8872576,45429,0.5592287966876812,0.20251381276277267
11420,117,209342,11420,11420,48489,TRUE,ZCTA5 11420,97919,6095,Queens,8872576,45429,0.5465041944977422,0.25754474014396095
11421,112,197412,11421,11421,41002,TRUE,ZCTA5 11421,81324,3846,Queens,8872576,45429,0.46212058369519743,0.24653855466772326
11422,111,196732,11422,11422,32082,TRUE,ZCTA5 11422,101416,7592,Queens,8872576,45429,0.36158608277911625,0.24433731757247573
11423,120,190566,11423,11423,31400,TRUE,ZCTA5 11423,79500,8339,Queens,8872576,45429,0.35389947631894053,0.2641484514297035
11426,9,17260,11426,11426,20801,TRUE,ZCTA5 11426,112325,12130,Queens,8872576,45429,0.2344414970353593,0.019811133857227763
11427,11,19824,11427,11427,24037,TRUE,ZCTA5 11427,84691,9563,Queens,8872576,45429,0.2709134303273367,0.02421360804772282
11428,59,101937,11428,11428,18929,TRUE,ZCTA5 11428,89593,11827,Queens,8872576,45429,0.21334277666373327,0.12987298861960422
11429,85,138930,11429,"11001, 11429",31780,TRUE,ZCTA5 11429,95721,11312,Queens,8872576,45429,0.3581823362234372,0.18710515309603998
11430,2,3789,NA,NA,NA,FALSE,ZCTA5 11430,NA,NA,Queens,NA,338,NA,0.591715976331361
11432,209,340935,11432,11432,62053,TRUE,ZCTA5 11432,72001,4489,Queens,8872576,45429,0.6993797517203572,0.4600585529067336
11433,402,623002,11433,"11433, 11451",36489,TRUE,ZCTA5 11433,73118,6647,Queens,8872576,45429,0.4112559869873192,0.8848973122895067
11434,328,509694,11434,"11430, 11434",65989,TRUE,ZCTA5 11434,71728,2544,Queens,8872576,45429,0.743741163783776,0.7220057672411896
11435,674,1401923,11435,11435,59296,TRUE,ZCTA5 11435,76915,3900,Queens,8872576,45429,0.6683064760448375,1.4836338021968347
11436,109,190320,11436,11436,20077,TRUE,ZCTA5 11436,87685,8389,Queens,8872576,45429,0.22628152184889708,0.23993484338198068
11507,1,1955,NA,NA,NA,FALSE,ZCTA5 11507,145833,22195,Nassau,NA,338,NA,0.2958579881656805
11520,2,1878,NA,NA,NA,FALSE,ZCTA5 11520,110152,8443,Nassau,NA,338,NA,0.591715976331361
11542,1,2332,NA,NA,NA,FALSE,ZCTA5 11542,91774,6735,Nassau,NA,338,NA,0.2958579881656805
11576,1,969,NA,NA,NA,FALSE,ZCTA5 11576,224698,20579,Nassau,NA,338,NA,0.2958579881656805
11580,3,5878,NA,NA,NA,FALSE,ZCTA5 11580,132632,10422,Nassau,NA,338,NA,0.8875739644970414
11580,3,5878,NA,NA,NA,FALSE,ZCTA5 11580,132632,10422,Queens,NA,338,NA,0.8875739644970414
11590,1,2070,NA,NA,NA,FALSE,ZCTA5 11590,133349,7640,Nassau,NA,338,NA,0.2958579881656805
11691,1079,1673599,11691,11691,67094,TRUE,ZCTA5 11691,59153,7443,Queens,8872576,45429,0.7561952695586941,2.375134825772084
11692,283,418379,11692,11692,20991,TRUE,ZCTA5 11692,57687,8512,Queens,8872576,45429,0.23658292698760766,0.6229500979550507
11693,52,82277,11693,11693,12919,TRUE,ZCTA5 11693,72714,12850,Kings,8872576,45429,0.1456059660689297,0.11446432895287151
11693,52,82277,11693,11693,12919,TRUE,ZCTA5 11693,72714,12850,Queens,8872576,45429,0.1456059660689297,0.11446432895287151
11694,243,382171,11694,11694,21354,TRUE,ZCTA5 11694,100190,8986,Queens,8872576,45429,0.24067418526479795,0.5349006141451496
11717,1,2596,NA,NA,NA,FALSE,ZCTA5 11717,111425,9789,Suffolk,NA,338,NA,0.2958579881656805
11757,1,2312,NA,NA,NA,FALSE,ZCTA5 11757,117182,6171,Suffolk,NA,338,NA,0.2958579881656805
11758,1,2866,NA,NA,NA,FALSE,ZCTA5 11758,146410,11652,Nassau,NA,338,NA,0.2958579881656805
11758,1,2866,NA,NA,NA,FALSE,ZCTA5 11758,146410,11652,Suffolk,NA,338,NA,0.2958579881656805
11779,1,2049,NA,NA,NA,FALSE,ZCTA5 11779,113355,8767,Suffolk,NA,338,NA,0.2958579881656805
12303,1,1025,NA,NA,NA,FALSE,ZCTA5 12303,77917,4017,Albany,NA,338,NA,0.2958579881656805
12303,1,1025,NA,NA,NA,FALSE,ZCTA5 12303,77917,4017,Schenectady,NA,338,NA,0.2958579881656805
12550,1,1169,NA,NA,NA,FALSE,ZCTA5 12550,73148,3983,Orange,NA,338,NA,0.2958579881656805
12601,1,774,NA,NA,NA,FALSE,ZCTA5 12601,59652,4601,Dutchess,NA,338,NA,0.2958579881656805
12771,1,1280,NA,NA,NA,FALSE,ZCTA5 12771,59141,6258,Orange,NA,338,NA,0.2958579881656805
13206,1,590,NA,NA,NA,FALSE,ZCTA5 13206,55806,3688,Onondaga,NA,338,NA,0.2958579881656805
13601,1,624,NA,NA,NA,FALSE,ZCTA5 13601,57936,3163,Jefferson,NA,338,NA,0.2958579881656805
14612,1,1175,NA,NA,NA,FALSE,ZCTA5 14612,75648,5706,Monroe,NA,338,NA,0.2958579881656805
NA,23,0,99999,99999,0,TRUE,NA,NA,NA,NA,8872576,45429,0,0.050628453190693166
10118,0,NA,10001,"10001, 10119, 10199",23072,TRUE,NA,NA,NA,New York,8872576,45429,0.26003722030670684,0
10004,0,NA,10004,10004,3028,TRUE,ZCTA5 10004,232543,14137,New York,8872576,45429,0.03412763102846344,0
10005,0,NA,10005,"10005, 10271",8831,TRUE,ZCTA5 10005,189886,29192,New York,8872576,45429,0.09953141004371222,0
10006,0,NA,10006,10006,3454,TRUE,ZCTA5 10006,204574,22309,New York,8872576,45429,0.03892894239508346,0
10007,0,NA,10007,"10007, 10278, 10279",7023,TRUE,ZCTA5 10007,250001,NA,New York,8872576,45429,0.07915401344547514,0
10020,0,NA,10019,"10019, 10020, 10103, 10111, 10112",43703,TRUE,ZCTA5 10020,NA,NA,New York,8872576,45429,0.49256270106900185,0
10162,0,NA,10075,"10075, 10162",23140,TRUE,ZCTA5 10162,105391,101452,New York,8872576,45429,0.2608036268159326,0
10280,0,NA,10280,10280,9384,TRUE,ZCTA5 10280,206150,61580,New York,8872576,45429,0.10576409827315089,0
10282,0,NA,10282,10282,5593,TRUE,ZCTA5 10282,250001,NA,New York,8872576,45429,0.06303693538381638,0
11005,0,NA,11004,"11004, 11005, 11040",19216,TRUE,ZCTA5 11005,81328,23276,Queens,8872576,45429,0.21657746296002423,0
11243,0,NA,11217,11217,41407,TRUE,NA,NA,NA,Kings,8872576,45429,0.46668521069867425,0
11697,0,NA,11697,11697,3540,TRUE,ZCTA5 11697,134563,26046,Queens,8872576,45429,0.039898221215574826,0
